2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) DOGEUSDT BUY binance SELL bingx conf=31.3%
2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) DOGEUSDT BUY bitget SELL bingx conf=34.6%
2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) DOGEUSDT BUY coinex SELL bingx conf=43.1%
2026-05-19 05:05:58 | INFO | arbitrage | Arbitrage event closed NEARUSDT BUY binance SELL bingx
2026-05-19 05:06:03 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL gateio spread=0.3814% net=0.0555% conf=55.8%
2026-05-19 05:06:03 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:06:03 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:06:03 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:10 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:16 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:06:21 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:21 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:21 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) DOGEUSDT BUY kucoin SELL bingx conf=54.2%
2026-05-19 05:06:26 | INFO | arbitrage | Arbitrage event closed INJUSDT BUY bingx SELL kucoin
2026-05-19 05:06:32 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:32 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:32 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:06:32 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:32 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:37 | INFO | arbitrage | Arbitrage event closed NEARUSDT BUY binance SELL coinex
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:06:43 | INFO | arbitrage | Arbitrage event closed NEARUSDT BUY binance SELL bitget
2026-05-19 05:06:44 | INFO | arbitrage | Arbitrage event closed NEARUSDT BUY binance SELL bybit
2026-05-19 05:06:51 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL gateio
2026-05-19 05:06:51 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:06:51 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
